0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:01 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:02 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:02 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 200 73995
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 200 135904
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:04 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 200 122696
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:05 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:36 +0530] "GET /collabrationFront/addBlog.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:58:38 +0530] "GET /collabrationFront/aboutUs.html HTTP/1.1" 200 -
